vaccineStrain	compareStrain	tipDate	mean_N	median_N	min_N	max_N	mean_S	median_S	min_S	max_S
MG974447_A_Kansas_14_2017	1618891_A_Pennsylvania_1020_2019	2019.10.12	2.009	2	2	4	28.43	28	28	34
MG974447_A_Kansas_14_2017	1640279_A_Cardiff_9474_2019	2019.12.9	0.042	0	0	6	35.702	35	34	117
MG974447_A_Kansas_14_2017	1641886_A_Idaho_40_2019	2019.11.16	2.014	2	2	4	34.902	36	32	92
MG974447_A_Kansas_14_2017	1651646_A_Virginia_42_2019	2019.12.9	2.008	2	2	4	31.334	32	29	40
MG974447_A_Kansas_14_2017	1661929_A_Mexico_2943_2019	2019.10.31	4.008	4	4	6	8.064	8	8	42
MG974447_A_Kansas_14_2017	1662160_A_Abudhabi_106_2019	2019.11.26	2.008	2	2	4	32.33	33	30	39
MG974447_A_Kansas_14_2017	1675773_A_Rheinland_Pfalz_5_2020	2020.1.7	0.03	0	0	2	34.654	34	33	98
MG974447_A_Kansas_14_2017	1683447_A_Wisconsin_03_2020	2020.1.9	1.022	1	1	3	34.476	35	33	93
MG974447_A_Kansas_14_2017	1692312_A_Louisiana_66_2019	2019.12.28	1.014	1	1	3	36.908	38	34	94
MG974447_A_Kansas_14_2017	1713851_A_Pennsylvania_15_2020	2020.2.20	2.018	2	2	8	30.74	30	30	111
MG974447_A_Kansas_14_2017	1738893_A_Minnesota_23_2020	2020.3.20	2.024	2	2	4	38.861	40	35	46
MG974447_A_Kansas_14_2017	1738933_A_Idaho_52_2019	2019.12.25	2.012	2	2	4	32.37	33	31	37
MG974447_A_Kansas_14_2017	1740471_A_Minnesota_12_2020	2020.2.12	1.018	1	1	5	35.495	35	31	94
MG974447_A_Kansas_14_2017	1748112_A_Alberta_RV5268_2020	2020.3.4	1.013	1	1	3	28.491	28	28	88
MG974447_A_Kansas_14_2017	1799200_A_Haiti_394_2019	2019.12.16	2.01	2	2	4	37.423	38	35	102
MG974447_A_Kansas_14_2017	1807805_A_Guangxi_Hengxian_3105_2019	2019.11.14	1.004	1	1	3	26.487	26	26	34
MG974447_A_Kansas_14_2017	1807829_A_Zhejiang_Dinghai_1817_2019	2019.10.8	2.004	2	2	4	25.493	25	25	33
MG974447_A_Kansas_14_2017	1839735_A_Laos_1752_2020	2020.9.26	2.008	2	2	4	37.344	38	35	44
MG974447_A_Kansas_14_2017	1841191_A_Yunnan_Wenshan_1592_2020	2020.7.21	1.004	1	1	3	28.522	28	28	36
MG974447_A_Kansas_14_2017	1841681_A_Cambodia_e0826360_2020	2020.7.16	2.014	2	2	8	36.422	37	34	113
MG974447_A_Kansas_14_2017	1847821_A_Kitakyusyu_1_2020	2020.8.1	3.014	3	3	7	33.446	34	31	100
MG974447_A_Kansas_14_2017	1847845_A_Saitama_92_2020	2020.4.3	2.012	2	2	4	35.738	36	33	94
MG974447_A_Kansas_14_2017	2761581_A_Hessen_26_2020	2020.1.27	1.016	1	1	3	35.516	35.5	31	91
MG974447_A_Kansas_14_2017	2761606_A_Schleswig_Holstein_9_2020	2020.2.10	0.032	0	0	2	34.652	34	33	94
1592032_A_Hong_Kong_2671_2019	1969592_A_Bangladesh_9019_2021	2021.9.20	3.008	3	3	5	30.107	31	27	35
1592032_A_Hong_Kong_2671_2019	1838078_A_California_55_2020	2020.10.12	3.006	3	3	5	26.211	25	23	103
1592032_A_Hong_Kong_2671_2019	1847925_A_Vietnam_Vnhcm_Gs483_2020	2020.10.9	3.012	3	3	11	27.203	26	24	164
1592032_A_Hong_Kong_2671_2019	1849665_A_AbuDhabi_01_2021	2021.1.1	3.01	3	3	5	29.247	29.5	26	106
